11231,"TKNO3","3"
11231,"TKNO4","4"
11258,"TELB4","4"
11258,"TELB3","3"
11312,"OIBR4","4"
11312,"OIBR3","3"
11398,"CRPG5","5"
11398,"CRPG3","3"
11525,"TROR3","3"
11525,"TROR4","4"
11592,"UNIP3","3"
11592,"UNIP5","5"
11681,"VAGV3","3"
11681,"VAGV4","4"
11762,"VULC3","3"
11800,"WMBY3","3"
11932,"MYPK3","3"
11975,"AZEV3","3"
11975,"AZEV4","4"
11991,"MWET3","3"
11991,"MWET4","4"
12190,"BOBR3","3"
12190,"BOBR4","4"
12262,"LFFE3","3"
12262,"LFFE4","4"
12319,"JBDU3","3"
12319,"JBDU4","4"
12530,"ITEC3","3"
12572,"RCSL4","4"
12572,"RCSL3","3"
12653,"KLBN4","4"
12653,"KLBN3","3"
12696,"SNSY5","5"
12696,"SNSY3","3"
12793,"FIBR3","3"
12823,"APTI3","3"
12823,"APTI4","4"
12840,"REEM3","3"
12840,"REEM4","4"
12980,"FCAP4","4"
12980,"FCAP3","3"
13030,"SULT4","4"
13030,"SULT3","3"
13285,"JOPA4","4"
13285,"JOPA3","3"
13366,"HAGA4","4"
13366,"HAGA3","3"
13412,"PTPA4","4"
13412,"PTPA3","3"
13439,"RSUL4","4"
13439,"RSUL3","3"
13447,"PPAR3","3"
13471,"PLAS3","3"
13765,"MNPR3","3"
13773,"PTBL3","3"
13781,"SCAR3","3"
13854,"MAPT3","3"
13854,"MAPT4","4"
13986,"SUZB5","5"
13986,"SUZB6","4"
14044,"CPSL3","3"
14109,"RAPT3","3"
14109,"RAPT4","4"
14133,"TOYB3","3"
14133,"TOYB4","4"
14176,"ELPL3","3"
14176,"ELPL4","4"
14206,"BSLI3","3"
14206,"BSLI4","4"
14311,"CPLE3","3"
14311,"CPLE5","5"
14320,"USIM3","3"
14320,"USIM5","5"
14346,"WHRL3","3"
14346,"WHRL4","4"
14362,"CEPE3","3"
14362,"CEPE5","5"
14443,"SBSP3","3"
14451,"CEBR5","5"
14451,"CEBR3","3"
14460,"CYRE3","3"
14524,"CEEB5","5"
14524,"CEEB3","3"
14605,"ENMT4","4"
14605,"ENMT3","3"
14664,"SHUL4","4"
14664,"SHUL3","3"
14761,"HGTX3","3"
14818,"CMSA4","4"
14818,"CMSA3","3"
14826,"PCAR3","3"
14826,"PCAR4","4"
14869,"COCE3","3"
14869,"COCE5","5"
14931,"DXTG3","3"
14931,"DXTG4","4"
15091,"LTEL5B","4"
15091,"LTEL3B","3"
15253,"ENGI4","4"
15253,"ENGI3","3"
15261,"PSEG4","4"
15261,"PSEG3","3"
15300,"FRRN5B","4"
15300,"FRRN3B","3"
15369,"VSPT4","4"
15369,"VSPT3","3"
15377,"PQTM3","3"
15377,"PQTM4","4"
15423,"ATOM3","3"
15458,"BTTL3","3"
15458,"BTTL4","4"
15539,"GNAN3B","3"
15636,"CGAS3","3"
15636,"CGAS5","5"
15687,"ZTJK3B","3"
15695,"GRUC3","3"
15784,"LIPR3","3"
15865,"SQRM3","3"
16101,"GFSA3","3"
16209,"ETRO3B","3"
16225,"VLTR3B","3"
16233,"PBEL3B","3"
16284,"QVQP3B","3"
16292,"BRFS3","3"
16306,"RSID3","3"
16438,"OPTS3B","3"
16497,"ECPR4","4"
16497,"ECPR3","3"
16560,"BNPA3B","3"
16586,"OPSE3B","3"
16594,"OPOE3B","3"
16608,"ENMA5B","4"
16608,"ENMA3B","3"
16616,"CEGR3","3"
16624,"UPKP3B","3"
16632,"GPCP3","3"
16659,"PSSA3","3"
16705,"ALEF3B","3"
16810,"OPRT3B","3"
16861,"CASN4","4"
16861,"CASN3","3"
16942,"OPHE3B","3"
16993,"EMAE4","4"
16993,"EMAE3","3"
17329,"TBLE3","3"
17337,"OPRE3B","3"
17361,"OPZI3B","3"
17388,"FTRT3B","3"
17418,"TLVT3B","3"
17434,"SPRT3B","3"
17485,"EKTR4","4"
